Company Name,Rows,Industry_set,Website_set,Invest_counts,pair_counts,ICP_other_set,ICP_mine_set,ICP_Reason_top,Titles,Headline_sample,Keywords_sample,Desc_sample,LinkedIn_examples
DealMaker,1,Financial Services,http://www.dealmaker.com.br,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Managing Partner,Managing Partner,"m, a, startups, capital raising, corporate finance, technology, digital economy, a advisory, fintech, corporate development, transaction success, mergers & acquisitions, buy side advisory, sell side advisory, growth strategies, impactful narratives, fundraising strategies, market assessment, capital markets strategy, design integration, communication strategies, investment opportunities, financial innovation, early-stage vc, financial storytelling, strategic investors, equity funding, insurtech, software solutions, data-driven insights, artificial intelligence, blockchain integration, programmatic finance, financial inclusion, decentralized finance, api integrations, self-sovereign identity, smart contracts, programmable money, financial technology, agritech, healthtech, cloud solutions, startup support, digital transformation, market trends, capital markets insights, financial efficiency, investment strategies, strategic acquisitions, sustainable finance, private equity, financial regulations, emerging markets, financial literacy, business ecosystems, financial services, finance technology, information technology & services, cloud computing, enterprise software, enterprises, computer software, b2b","DealMaker is a strategic advisory firm specializing in Fundraising, Mergers and Acquisitions for entrepreneurs and investors in the digital economy.

By leveraging each client's unique characteristics and combining design, communication, and corporate finance, DealMaker develops and executes transactions to amplify entrepreneurs' reach in their exponential journey.",http://www.linkedin.com/in/gustavocastroesilva
"Encina Lender Finance, LLC",2,Financial Services,http://www.encinacapital.com,{'No': 2},{'Maybe->Yes': 2},Maybe,Yes,{'Financial firm with investment signals (financial services)': 2},"CEO & Chief Investment Officer | Managing Director, Commercial Risk & Credit Head","CEO | CIO | Board Member | Private Credit Investment Professional | Asset-based & Specialty Finance | Fintech | Asset-backed Credit Facilities | Forward Flow Asset Purchase Programs | Managing Director, Co-head Asset Management Group At Encina Lender Finance","specialty finance, private credit, lender finance, enterprise value loans, commercial finance, asset-based lending, financing solutions, middle-market companies, credit facilities, delayed draw term loans, forward flow purchase programs, capital markets, unitranche financing, risk management, portfolio monitoring, underwriting, junior capital sponsorship, consumer finance, non-bank lending, direct lenders, transaction structuring, funding strategy, cash flow lending, structured finance, mid cap lending, small balance lending, debt financing, credit risk, corporate finance, financial institutions, cash flow management, investment insights, differentiated credit assets, speed & efficiency, customer focus, collateral-level analysis, capital commitment, scalable solutions, private equity-sponsored financing, emerging markets, first-out lender, institutional funding, programmatic finance, fintech solutions, funding options, asset-backed securities, business development, competitive financing, financial services, b2b","In October 2020, Encina Capital Partners, LLC and an affiliate of certain funds managed by Oaktree Capital Management, L.P. together announced the launch of Encina Lender Finance, LLC (""ELF""), a new independent lender finance platform targeting consumer and commercial specialty finance companies in the U.S. and Canada.

Operating from both coasts, ELF offers delayed draw term loans and forward flow purchase programs ranging in size from $50 - $150 million to emerging and established specialty finance companies with strong junior capital sponsorship. ELF targets ABF investments in granular pools of short-to-intermediate duration asset classes in the consumer and commercial finance sectors. Ta",http://www.linkedin.com/in/geoff-beard | http://www.linkedin.com/in/jeff-carbery-ab0598179
FBM Corporate Finance,1,Financial Services,http://www.fbm.nl,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Associate Partner,Associate Partner Bij Fbm Corporate Finance,"financiering, financieel management, herstructurering, fusies, overnames, restructuring, corporate recovery, capital raising, mergers, acquisitions, financial management, corporate finance, commercieel vastgoed, bedrijf kopen, bedrijf verkopen, bedrijfswaarderingen, business acquisition, business sales, company valuation, growth financing, investment advisory, m&a consulting, buy-and-build strategy, due diligence, transaction management, financial structuring, financial analysis, operational restructuring, employee participation, asset valuation, strategic planning, market analysis, debt financing, equity financing, exit strategy, investment community, private equity, venture capital, networking events, advisory services, business growth, business optimization, financial consultancy, risk assessment, performance improvement, strategic partnerships, investors relations, capital structure, market consolidation, entrepreneur community, investment opportunities, mentorship programs, project financing, client testimonials, sector expertise, financial strategies, equity stake, financial modelling, crisis management, turnaround strategies, value creation, financial services","FBM is an independent advisory company that provides financial advisory services and capital raising solutions to clients in connection with debt and capital structures, mergers and acquisitions, restructurings and other strategic matters. FBM was founded in 1990 and operates out of two offices, located in Amsterdam and Nieuwegein. We offer a broad range of independent advisory services ranging from:
 
Debt Advisory
Merger & Acquisitions Advisory
Restructuring & Turnaround
 
Our dedicated professionals have experience across industries, capital structures and economic cycles and are highly qualified to execute. They have a history of working closely with management teams and boards to optimi",http://www.linkedin.com/in/marc-voogd
Fifth Season Investments,1,Financial Services,http://www.fifthseasoninvestments.com,{'Yes': 1},{'Maybe->No': 1},Maybe,No,{'Financial firm with investment signals (financial services)': 1},President & Chief Executive Officer,President & Chief Executive Officer,"life insurance loans, loans, special loans, financial help, financial assistance, loans & financial assistance, life insurance, life settlements, investment management, portfolio management, secondary life settlements, tertiary life settlements, life insurance-backed assets, stable returns, predictable returns, uncorrelated investments, analytics-driven investments, life expectancy analysis, risk assessment, capital deployment, diversified portfolios, insurance policy valuation, financial planning, estate planning, investment strategies, insurance agents, relationship management, funding solutions, asset management, investment advisers, sec registered, business development companies, wealth management, high net worth individuals, life settlement industry, sophisticated investment techniques, financial consulting, long-dated assets, investment portfolio growth, financial performance, sourcing policies, financial advisors, capital markets, mergers & acquisitions, insurance policy origination, portfolio analytics, investment oversight, policy underwriting, due diligence, structured transactions, cross-border transactions, legal counsel, investment compliance, financial services, law practice, legal services, management consulting","Fifth Season Investments is a portfolio company of certain Owl Rock BDCs, which are externally managed by indirect subsidiaries of Blue Owl Capital Inc. that are SEC-registered investment advisers. Owl Rock is a division of Blue Owl Capital (NYSE: OWL), an alternative asset manager with approximately $132.1 billion of assets under management as of September 30, 2022.",http://www.linkedin.com/in/adam-balinsky-55001421
Flow Capital,1,Financial Services,http://www.flowcap.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Business Owner,Business Owner Of Capital N Flow Llc,"venture debt, growth capital, startup financing, venture debt financing, saas financing, founderfriendly capital, nondilutive capital, capital for startups, growthstage financing, startup growth, saas growth, founder-friendly, flexible financing, equity dilution, revenue-based financing, business scaling, investment partner, high-growth companies, capital efficiency, alternative financing, b2b saas, debt financing, investor relations, financial transparency, loan structure, warrant coverage, markets funding, corporate finance, start-up loans, financial performance, equity retention, cash flow management, capital deployment, portfolio performance, strategic partnerships, business expansion, network access, financial oversight, investing in entrepreneurs, lower financing costs, investment strategy, venture capital alternatives, financial risk management, customized financing solutions, investor confidence, funding sources, long-term partnerships, operational control, entrepreneurial support, asset-light companies, short-term loans, financial innovation, dynamic funding solutions, business valuation, market access, equity participation, financial services","We are here to help you grow. With loans up to $10 million, we provide the capital you need to scale fast, without compromising your vision or control.",http://www.linkedin.com/in/aaron-gilbert-461b44162
Franchise Equity Partners,8,Financial Services,http://www.fep-us.com,{'Yes': 8},{'Maybe->No': 8},Maybe,No,{'Financial firm with investment signals (financial services)': 8},"Managing Director, Head Of Investments | Partner, Head Of Capital Markets | Executive Business Partner | Partner - Fep | Co Managing Partner | Operating Partner","Managing Director, Head Of Investments | Partner, Head Of Capital Markets | Executive Business Partner","franchise investment, capital solutions, minority equity, long-term partnerships, flexible capital, operating partners, franchise development, strategic partnerships, acquisition financing, business growth support, franchise sector expertise, owner operator control, m&a opportunities, financial reporting, succession planning, data analytics, investment strategies, business intelligence, passive investment, ownership transition, liquidity solutions, industry insights, multi-site services, portfolio management, operational efficiency, market expansion, brand development, team leadership, diversification strategies, investment firm, franchise businesses, owner-controlled investments, financial assessment, capital projects, corporate finance, value-added partnerships, business optimization, franchise operators, disinterested shareholders, market assessments, competitive analysis, risk management, investment horizon, growth ambitions, strategic financial planning, investment portfolio diversification, analytics, information technology & services, financial services","Franchise Equity Partners (""FEP"") was founded based upon our belief that the franchising sector is a critical and highly-attractive component of the US economy with limited access to institutional sources of permanent capital. We are targeting a portfolio of $1billion of investments across the franchising sector.


Investment philosophy

We are minority stake investors who rely upon seasoned owner-operators to continue to run the businesses they have successfully built, often over the course of multiple generations. We work to meet your objectives, and can design highly customizable investments that are tailored for you.",http://www.linkedin.com/in/davidodonnell3 | http://www.linkedin.com/in/robert-daniel-b971407
Great Oak Funding,1,Financial Services,http://www.greatoakfunding.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Chief Executive Officer,Chief Executive Officer,"private lending, mezzanine financing, nontraditional security terms, secure loan purchase, sale leasebacks, corporate finance, restructuring, turnaround, credit risk, commercial lending, bridge lender, financing options, equipment financing, real estate financing, short-term loans, private funding, business loans, capital needs, quick funding, direct lending, loan application, financial solutions, small business loans, personalized financing, property investment, business growth, underwriting, credit assessment, asset-backed loans, financing criteria, ltv, commercial real estate, flexible loans, construction financing, debt financing, capital structure, financial advisory, investment portfolio, financial intermediaries, guaranty options, operating leases, bankruptcy options, financial partnerships, collateral loans, sba loans, non-traditional financing, cash flow improvement, credit risk management, low-doc loans, fast approval loans, working capital loans, business expansion funding, custom financing, capital access, loan terms, secured loans, unsecured loans, financial services, financial consulting, consulting, management consulting","Great Oak Funding is a private lender focused on providing funding to help businesses grow and expand.  Great Oak Funding provides capital through mezzanine financing to existing companies with a track record of revenue.  Great Oak Funding's management team has a history of working with distressed companies to provide guidance and capital to move companies back to success.

The goal of Great Oak Funding is to create successful businesses that are adequately capitalized, and possess strong management skills, all while keeping a focus on maintaining strong ownership with the founders/owners. We accomplish this by working closely with business owners to help define their growth strategy while d",http://www.linkedin.com/in/jasondowney
"Great Rock Capital Partners, LLC",1,Financial Services,http://www.greatrockcapital.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Vice President Finance,Vice President Finance,"asset based loans, abl, asset focused, restructuring, mergers & acquisitions, liquidity, growth capital, term loans, working capital, asset-focused lending, commercial finance, financing solutions, liquidity solutions, acquisition financing, refinancing, recapitalizations, bank replacement, structured financing, senior secured financing, revolving credit facility, credit facility, middle market financing, portfolio management, accounts receivable financing, equipment financing, inventory financing, real estate financing, creative financing solutions, financial partners, institutional investors, capital investments, business plans, collateral management, risk management, underwriting expertise, customer relationships, investment opportunities, demand capital, specialty financing, healthcare financing, manufacturing financing, transportation financing, technology financing, consumer products financing, financial flexibility, credit arrangements, customized solutions, professional financing, financial growth, bifurcated structures, stretch asset financings, differentiated lending, secured debt, liquidity metrics, financial performance, expansion strategies, business planning, b2b","Great Rock Capital Partners:  Fast, Flexible, and Creative Liquidity-Driven Solutions for Middle Market Companies.

Great Rock Capital is an asset-focused lender that supports middle market companies by providing maximum liquidity and growth capital.  We have the experience, expertise, and capital to structure and quickly execute unique financial solutions that maximize liquidity in most industries, including Commercial & Industrial, Manufacturing, Consumer, Transportation, Metals, Healthcare, Technology, and Defense. 

Great Rock Capital has no set lending formula as we recognize that each client has unique and specific needs.  Our financings range in size from $15 million to $100 million a",http://www.linkedin.com/in/steve-cataldo-085a413
Hunter Street,4,Financial Services,http://www.hunterst.com,{'Yes': 4},{'Yes->No': 4},Yes,No,{'Private Equity': 4},Partner | Investments | Partner | CEO & CIO | Partner | COO & CFO | Partner | President At Hunter Street Partners,Partner | CEO & CIO At Hunter Street Partners | Partner | COO & CFO At Hunter Street Partners | Partner | President At Hunter Street Partners,"real estate, corporate finance, specialty finance, investment, investment solutions, opportunistic investing, asset management, capital solutions, private equity, operational expertise, real estate investments, financial assets, market inefficiencies, capital preservation, risk management, strategic partnerships, structured investments, investment strategies, financial dislocation, investment verticals, special situations, venture capital, lower middle market, portfolio management, asset-based financing, residual value, cash flow optimization, funding solutions, back-office systems, financial compliance, investment origination, capital formation, joint ventures, credit strategies, business development, investment research, network relationships, institutional investments, leveraged investments, market analysis, due diligence, financial controls, investment portfolio, asset allocation, investor relations, dislocated assets, credit opportunities, fund accounting, investment outlook, specialty lending, investor network, operating partners, financial services, b2b","Hunter Street is a Minneapolis-based alternative investment management firm that provides creative capital solutions to operating partner teams and small to mid-sized companies for special situations, asset-based financings, and secondary purchases. The firm is focused on special opportunities across corporate finance, real estate, and specialty finance. Learn more about Hunter Street at www.hunterst.com",http://www.linkedin.com/in/andrew-platt-4a44262 | http://www.linkedin.com/in/nealrjohnson
IV Capital,1,Financial Services,http://www.sidneyt.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Owner,"Owner, Iv Capital","private investment, capital funding, small business loans, commercial bridge loans, residential transitional loans, flip loans, investment criteria, business partnerships, venture capital, management expertise, entrepreneurial support, real estate investment, funding strategies, capital for growth, louisiana investments, gulf coast entrepreneurship, niche franchises, business evaluation, financial performance, risk assessment, property renovations, investment process, business planning, small to mid-sized businesses, community engagement, economic development, wealth creation, business ownership, confidentiality in transactions, business succession, mergers & acquisitions, customer relationship management, strategic support, financial stability, due diligence, investor relations, business analysis, investment committee, financial backing, market opportunity, equity investment, investor network, business mentorship, local startups, financial literacy, social impact investing, entrepreneur coaching, community revitalization, b2b, crm, sales, enterprise software, enterprises, computer software, information technology & services",,http://www.linkedin.com/in/jay-young-0463356
Ironwood Capital,4,Financial Services,http://www.ironwoodcap.com,{'No': 4},{'Maybe->Yes': 4},Maybe,Yes,{'Financial firm with investment signals (financial services)': 4},President | Partner And Chief Financial Officer | Partner,Multifamily Acquisitions | Partner And Chief Financial Officer | Partner At Ironwood Capital,"mezzanine finance, private equity, growth capital, middle market, subordinated debt, environmental services, consumer services, manufacturing, recapitailzations, generational transitions & buyouts, minority equity, environmental technology, precision manufacturing, aerospace, defense, healthcare, facility services, junior capital, buyouts, recapitalizations, growth financing, flexible capital solutions, customized financing, investment strategy, portfolio management, esg investment, strategic partnerships, family-owned businesses, institutional investors, senior debt, equity co-investment, long-term commitment, operational efficiency, transactional experience, cross-referral programs, healthy cash flow, stable revenue generation, business transformation, impact investing, diversified portfolio, niche manufacturing, supply chain management, healthcare investments, transportation logistics, facilities services, business services, value-added services, continuous improvement, organic growth initiatives, management consulting, due diligence process, market expansion, industry expertise, fund management, performance monitoring, risk management strategies, competitive differentiation, wealth management services, capital structures, financial advisory services, senior lender relationships, operating resources, financial services, renewables & environment, mechanical or industrial engineering, health care, health, wellness & fitness, hospital & health care, logistics & supply chain, b2b","Ironwood Capital provides non-control junior capital to middle market companies across the U.S.  The firm has invested more than $1 billion in over 100 companies since 2001 and currently invests subordinated debt and minority equity in amounts ranging from $10 million to $50 million.  Ironwood's investments support business owners and financial sponsors in growth financings, recapitalizations, generational transitions and buyouts. For more information, please visit:  ironwoodcap.com.",http://www.linkedin.com/in/stephen-wood-172678166 | http://www.linkedin.com/in/zachary-luce-38386520
Jamieson Corporate Finance,1,Financial Services,http://www.jamiesoncf.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Us CEO & Managing Director,Us CEO & Managing Director At Jamieson Corporate Finance Us Llc,"private equity, restructuring, m, a & management advisory, management advisory, private equity transactions, equity incentive arrangements, buyout advisory, transaction negotiation, management terms, incentive plans, transaction structuring, investment negotiations, capital structuring, deal execution, financing strategies, client representation, incentive compensation, market knowledge, transaction values, financial modeling, strategic advisory, private capital, ceo advisory, deal lifecycle, transaction documentation, administrative support, market analysis, business disposals, fund management, cross-border transactions, performance incentives, exit strategies, public-to-private transactions, ipo advising, corporate finance, management teams, custom advising, equity evaluations, financial advisory, risk management, long-term investment guidance, market benchmarking, regulatory compliance, return modeling, stakeholder engagement, equity dilution protection, client objectives, transaction timelines, valuation services, deal closures, performance evaluation, portfolio management, financial services, financial consulting, consulting, management consulting","We are the leading global, independent management advisory firm, owned and managed by our team of professionals, and operating across an international network of offices.

We structure, navigate and implement equity incentive arrangements for management teams in private capital transactions. Working with Chairs, CEOs, CFOs, CHROs and their management teams, we help clients understand the risks and rewards of their investment decisions and shape tailored incentive plans. 

While our experts structure and negotiate terms, owner managers and management teams can focus on running their companies, secure in the knowledge that their interests are being protected and aligned with their investors' i",http://www.linkedin.com/in/mark-wasserberger-595862164
Kaizen Partners,1,Financial Services,http://www.kaizenpartners.in,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Owner,Owner At Kaizen Partners,"corporate advisory, debt capital market, debt syndication, private equity, mergers & acquisitions, investment management, risk management, financial advisory, fundraising services, valuation services, transaction advisory, business modeling, credit rating, debt restructuring, financial analysis, government securities, commercial paper, non-convertible debentures, project finance, working capital, term loan syndication, investment advisory, market research, capital market instruments, financial institutions, cross border transactions, mezzanine finance, hedge funds, securitization, investment in startups, taxation advisory, structured finance, acquisition advisory, financial restructuring, crypto finance, fintech advisory, treasury advisory, credit risk analysis, equity markets, fund management, special situations funds, financial instruments, market reports, capital raising, strategic planning, transparent financial operations, regulatory compliance, lending solutions, investor relations, financial services, financial consulting, consulting, management consulting","Kaizen Partners is where innovation meets impact. We're in the business of transforming ideas into sustainable success stories, offering cutting-edge financial advisory services that go beyond the conventional.

At Kaizen, we believe in more than just numbers. We partner with ambitious businesses, providing the strategic guidance and innovative solutions needed to thrive in an ever-evolving global market. Whether you're looking to scale your operations, navigate complex cross-border deals, or secure your competitive edge, we're here to make it happen.

Our team of passionate and experienced professionals brings a fresh perspective to every transaction, turning challenges into opportunities a",http://www.linkedin.com/in/mark-johnson-10542416
Large Practice Sales,1,Financial Services,http://www.largepracticesales.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Founder & Principal,Founder At Large Practice Sales,"private equity, dental support organizations, dso, mergers & acquisitions, oral surgery, orthodontics, pediatric dentistry, general dentistry, endodontics, periodontics, implant dentistry, idso, advisor, dentistry, dental entrepreneur, dental practice owner, dental partnership, practice monetization, ebitda, bidding contests, oral surgeons, orthodontists, pediatric specialists, endodontists, periodontists, general practice, financial security, value analysis, silent partner, long-term wealth, confidentiality, due diligence, equity growth, partner selection, multiples of collections, charitable support, custom transactions, client reviews, transaction advisor, dentist advisor, business growth, investment portfolio, dental practices, multi-specialty groups, value maximization, tax planning, financial structuring, lps services, healthcare transactions, dental practice acquisition, investment opportunities, conflict of interest, practice growth strategies, wealth creation, invisible dso, dental trifecta, success stories, portfolio diversification, specialty partnerships, transaction management, practice value enhancement, practice sales, client satisfaction, market trends, dental industry support, financial services, hospital & health care, medical practice","Large Practice Sales (LPS) has completed over $1.0 billion of IDSO (Invisible Dental Support Organization) partnerships in the last 24 months for GPs and all specialists. Doctors sell 51% to 80% of their practice for cash at today's low tax rates and continue to lead their practice as owners with full autonomy for years or decades. Contact us today to schedule an introductory call with Co-Founder, Chip Fichtner.

HOW IT WORKS
LPS enables dentists of all specialties to monetize a part of their practice value with a silent partner for cash at today's low tax rates. Doctors continue as owners leading their practice under the doctor's brand, team and strategy for years or decades. Doctors gain t",http://www.linkedin.com/in/chip-fichtner-00b80a1a8
Legion Capital,1,Financial Services,http://www.legioncapital.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Executive Administrative Director To CEO / Lending Operations Manager,Executive Administrative Director To CEO / Lending Operations Manager,"business lending, private equity, investments, business loans, specialized lending, bridge funding, acquisition finance, development capital, growth capital, small business lending, real estate developers, tailored financing, proven transaction underwriting, debt investment products, equity ownership, residential development finance, luxury home finance, medical campus finance, investment offerings, liquidity dates, market growth, business services, corporate finance, business management services, title & closing services, marketing consulting, financial management, early stage financing, institutional lenders, asset based lending, construction loans, investment opportunities, secured mortgages, sophisticated lending solutions, yield generating investments, collateral management, merchant services, real estate acquisition, venture capital, financial advisory, transaction analysis, management consulting, market research, risk management, debt securities, business profitability, alternative investment, retail investment products, fiscal responsibility, investment advisory services, financial planning, real estate financing, funding solutions, financial services, b2b, financial consulting, consulting","Legion Capital (Ticker Symbol: LGCP) is a publicly traded FinTech driven private equity lender focused on specialized lending to real estate developers, business owners, and entrepreneurs. We provide bridge funding, acquisition, development and growth capital to companies and projects in targeted industries. Legion also takes equity ownership in select companies and projects.",http://www.linkedin.com/in/treanna-scholer-4a2a8826
Link Capital Partners,1,Financial Services,http://www.linkcapitalpartners.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},Managing Partner,Managing Partner At Link Capital Partners,"institutional distribution, mergers, acquisitions, corporate restructurings, independent advisory, asset management, investment opportunities, mergers & acquisitions, capital raising, private equity, real estate investment, personalized financial solutions, strategic advisory, fundraising services, public bond placements, private debt funds, financial restructuring, market insights, tailored investment strategies, institutional investors, project financing, natural resource investments, discretionary fund management, value-based investing, risk-adjusted returns, capital markets advisory, cross-border transactions, tailor made financial advice, fund management, private market strategies, business valuations, ipo advisory, portfolio management, financial performance analysis, venture capital, clean energy investments, transaction execution, distressed asset management, client relations, capital structure optimization, investor relations, investment vehicles, market trends, growth capital, infrastructure investment, senior debt financing, capital commitment, investment partnerships, financial services","Link Capital Partners is an independent financial services firm, providing financial advisory, fixed income advisory, asset management in alternative assets, and institutional distribution. The partners of Link Capital Partners have worked together for over 10 years.

Our value proposition is based in providing clients with personalized, expert perspectives with total independence, which allows us to ensure that our interests are fully aligned to those of our clients.

At Link Capital Partners, our partners work directly with our clients on a daily basis in order to create value by crafting tailor-made financial solutions and structuring vehicles that allow to exploit attractive investment o",http://www.linkedin.com/in/felipemaul
Long Ridge Equity Partners,1,Financial Services,http://www.long-ridge.com,{'Yes': 1},{'Yes->No': 1},Yes,No,{'Corporate Buyer': 1},Partner/ Chief Financial Officer / Chief Compliance Officer,Partner/ CFO/ Cco | Cpa @ Long Ridge Equity Partners,"financial services, business technology, growth investing, financial technology, investment management, private equity, supply chain compliance, customer engagement, identity verification, wealth management solutions, debt recovery services, risk management, healthcare administration, data analytics, integrated technology platforms, portfolio management, capital markets solutions, artificial intelligence, cybersecurity solutions, outsourced administration services, fraud prevention, loan processing software, digital transformation services, regulatory compliance solutions, automated payment solutions, customer relationship management, insurance technology, trading software development, market access platforms, credit management services, wealth management technology, enterprise software solutions, healthcare discounts, business process optimization, strategic partnerships, technology integration, growth capital investments, investment strategies, sales enablement tools, investment teams, startup investing, corporate finance consulting, venture capital insights, team collaboration solutions, market analysis tools, financial literacy, corporate governance software, compliance management tools, marketing technology, cyber risk assessment, finance technology, information technology & services, crm, sales, enterprise software, enterprises, computer software, b2b","Founded in 2007, Long Ridge invests in growth stage companies that are transforming financial and business technology. 

With $1.75 billion under management, Long Ridge partners with visionary entrepreneurs to build sector leaders. The firm's collaborative approach, coupled with deep industry expertise, makes Long Ridge the partner of choice for industry-leading management teams. Representative investments include BlueTarp Financial, Broadway Technology, Browz, Carson Group, and Portware. 

Long Ridge is based in New York City and can be contacted at www.long-ridge.com.",http://www.linkedin.com/in/donna-little-cpa-9918473
Outpost Capital Partners,1,Financial Services,http://www.outpostcp.com,{'Yes': 1},{'Maybe->No': 1},Maybe,No,{'Financial firm with investment signals (financial services)': 1},Managing Partner,Managing Partner At Outpost Capital Partners,"distressed debt, special situations, litigation finance, insolvency claims, trade claims, distressed investing, global enforcement, asset recovery, frontier, emerging markets, liquidity solutions, risk transfer, litigation claims, creditor claims, bankruptcy proceedings, international judgments, arbitration awards, claims trading, financing litigation, legal claims, complex transactions, class actions, monetize claims, corporate transactions, mergers & acquisitions, divestitures, liquidation opportunities, credit research, trading operations, investment strategies, asset acquisition, negotiation, distressed assets, claims sale process, transaction optimization, in-house legal team, claims holders, cross-border bankruptcies, legal proceedings, expertise, investment team, claims analysis, transaction agreements, fixed sum payments, cash needs, resource optimization, support legal proceedings, claim monetization, high yield finance, litigation-focused, complex legal questions, investment firm, due diligence, risk management","Outpost is a distressed and special situations investment firm focused on non-security debt obligations and a wide range of litigation driven opportunities.  We provide liquidity and risk transfer to holders of esoteric paper assets through our direct monetization of legal claims.

Our investment professionals have traded legal claims with an aggregate notional value in the billions of dollars in jurisdictions around the world. We have expertise in cross-border asset recovery and claims resulting from financial fraud, complex commercial litigation, mass tort, international arbitration, unpaid trade receivables and defaulted bank debt. Our depth of experience in emerging and frontier markets ",http://www.linkedin.com/in/clint-dockery-9708a3126
Paladin,6,Financial Services,http://www.paladinmgmt.com,{'No': 6},{'Maybe->Yes': 6},Maybe,Yes,{'Financial firm with investment signals (financial services)': 6},Managing Partner | Partner,Partner At Paladin | Paladin Management Group / Corporate Finance & Interim Management | CEO ǀ CFO ǀ CRO ǀ Turnarounds & Crisis Management ǀ Strategic Growth Business Plans ǀ Operating Partner ǀ Finance / Operational Expertise ǀ M&a And Roll-ups ǀ Family Businesses | Workouts | Debt Restructuring,"restructuring, transaction advisory, performance improvement, strategic communications, portfolio services, financial consulting, operational consulting, middle-market advisory, value creation, crisis management, business transformation, financial restructuring, liquidity management, bankruptcy planning, interim leadership, stakeholder engagement, operational efficiency, performance management, custom solutions, buy-side diligence, sell-side readiness, mergers & acquisitions, integration services, corporate finance, risk management, financial modeling, human capital, strategic advisory, market analysis, cost optimization, revenue expansion, working capital management, inventory management, cash flow management, business plan review, audit services, communications strategy, crisis communications, enterprise value preservation, client partnership, team development, mentorship programs, leadership training, client engagement, organizational restructuring, stakeholder alignment, operational improvement, business growth, innovative consulting approaches, strategic positioning, financial services, management consulting, professional training & coaching","Paladin is a middle-market advisory firm driving value creation through financial and operational consulting services. Our team of expert consultants, from a range of disciplines, unites with our clients to deliver tailored solutions that yield tangible and lasting results.",http://www.linkedin.com/in/scott-avila-5731007 | http://www.linkedin.com/in/don-harer-229b4a15
Paradise Capital,1,Financial Services,http://www.paradisecapital.biz,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Financial firm with investment signals (financial services)': 1},CEO,CEO,"business exit strategies, exit planning, business valuation, mergers & acquisitions, emotional readiness for selling, financial readiness for selling, business growth strategies, no regrets exit, transition planning, business sale preparation, comprehensive review & action plan, strategic buyer identification, target market refinement, seller's emotional concerns, business transition services, business owner advocacy, tailored marketing plans, business packaging for sale, portfolio restructuring, acquisition guidance, joint ventures, business legacy planning, emotional support for sellers, capitalizing on market conditions, performance metrics for growth, business optimization, successful sale strategies, profit maximization techniques, personalized exit plans, business health assessment, business continuity planning, buyer profiling, growth planning systems, confidential sales process, relationship management in sales, digital marketing strategy, brand ambassador role, sale-leaseback structuring, high-value proposals, client-focused consulting, multi-business integration, comprehensive growth assessments, post-sale integration processes, free resources for business owners, workbooks for business growth, step-by-step growth instructions, actionable business insights, financial services",,http://www.linkedin.com/in/paul-niccum-aaab038
