Company Name,rows,industry,website,title_sample,reason_top,pair_counts,invest_counts,initial_label,confidence,auto_reason,desc_sample,keywords_sample,headline_sample
IDG Intelligence,1,Computer Games,http://www.idgintel.com,President/CEO,Computer Games - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"IDG Intelligence is a market research and strategic consulting firm that specializes in interactive media. From console games to handheld and portable gaming to online entertainment, IDG's syndicated and custom research offerings have been providing marketers and executives throughout the industry with insights and marketplace intelligence for 40 years.

IDG provides companies with a full range of","gaming industry insights, data analytics, market research, custom research, strategic advisory, consumer insights, research reports, data visualization, competitive intelligence, portfolio optimization, financial modeling, qualitative research, quantitative surveys, ethnographic research, stakeholde",President/CEO At Idg Intelligence
IV Capital,1,Financial Services,http://www.sidneyt.com,Owner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,,"private investment, capital funding, small business loans, commercial bridge loans, residential transitional loans, flip loans, investment criteria, business partnerships, venture capital, management expertise, entrepreneurial support, real estate investment, funding strategies, capital for growth, ","Owner, Iv Capital"
Jamieson Corporate Finance,1,Financial Services,http://www.jamiesoncf.com,Us CEO & Managing Director,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"We are the leading global, independent management advisory firm, owned and managed by our team of professionals, and operating across an international network of offices.

We structure, navigate and implement equity incentive arrangements for management teams in private capital transactions. Working with Chairs, CEOs, CFOs, CHROs and their management teams, we help clients understand the risks and","private equity, restructuring, m, a & management advisory, management advisory, private equity transactions, equity incentive arrangements, buyout advisory, transaction negotiation, management terms, incentive plans, transaction structuring, investment negotiations, capital structuring, deal executi",Us CEO & Managing Director At Jamieson Corporate Finance Us Llc
Kaizen Partners,1,Financial Services,http://www.kaizenpartners.in,Owner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Kaizen Partners is where innovation meets impact. We're in the business of transforming ideas into sustainable success stories, offering cutting-edge financial advisory services that go beyond the conventional.

At Kaizen, we believe in more than just numbers. We partner with ambitious businesses, providing the strategic guidance and innovative solutions needed to thrive in an ever-evolving global","corporate advisory, debt capital market, debt syndication, private equity, mergers & acquisitions, investment management, risk management, financial advisory, fundraising services, valuation services, transaction advisory, business modeling, credit rating, debt restructuring, financial analysis, gov",Owner At Kaizen Partners
Kings Investments,1,Investment Management,http://www.kings-investments.com,CEO + Founder,Investment management - potential investor,{'Maybe->No': 1},{'Yes': 1},No,high,accounting_service,"Privately held investment vehicle

Kings Investments (Pvt) Ltd, formed in 1994, is a special purpose company with significant experience in forming unparalleled consortiums with its world class partners. The strategy has been to enter the Sri Lankan market supported by partnerships with renowned solutions providers, Kings Investments strives to provide unsurpassed quality in service and products t","consultancy services, government projects, renewable energy, water resources, wastewater management, real estate, telecommunications, biometrics, secure credentialing, it solutions, cyber security, investment advisory, market entry strategy, mergers & acquisitions, management consulting, corporate a",CEO + Founder
Laird + Partners,1,Marketing & Advertising,http://www.lairdpartners.com,IT Intern At Laird + Partners,Marketing & Advertising - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","Laird + Partners is a leading New York-based creative agency specializing in fashion, lifestyle, and luxury branding and communications. In creating a unique identity for each of our clients, we provide the highest level of visual sophistication combined with an insightful strategic marketing approach. We offer a range of capabilities, including brand consulting, advertising, digital, corporate id","advertising services, corporate advisory, m&a advisory, business transformation, growth strategy, digital transformation, strategic transactions, interim leadership, project-based consulting, transaction advisory, integration complexity, acquisitions, divestitures, strategic partnering, joint ventur",
"Laurel Strategies, Inc.",1,International Affairs,http://www.laurelstrategies.com,"Founder, Chair & CEO",Does not match ICP (international affairs),{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Laurel Strategies is a global business advisory and strategic communications firm for global corporations, financial institutions, investment firms, foundations, NGOs and high profile leaders. 

We improve the development and execution of strategy, maximize positioning and media relationships, refine communications, manage and mitigate risk, support investment deals and increase the impact of phil","global strategy, communications, positioning, risk mitigation, crisis management, investment support, strategic philanthropy, strategic counsel, business advisory, communications strategies, leadership development, cybersecurity protocols, global business strategy, thought leadership, executive coac","Founder, Chair & CEO At Laurel Strategies, Inc."
Link Capital Partners,1,Financial Services,http://www.linkcapitalpartners.com,Managing Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Link Capital Partners is an independent financial services firm, providing financial advisory, fixed income advisory, asset management in alternative assets, and institutional distribution. The partners of Link Capital Partners have worked together for over 10 years.

Our value proposition is based in providing clients with personalized, expert perspectives with total independence, which allows us","institutional distribution, mergers, acquisitions, corporate restructurings, independent advisory, asset management, investment opportunities, mergers & acquisitions, capital raising, private equity, real estate investment, personalized financial solutions, strategic advisory, fundraising services, ",Managing Partner At Link Capital Partners
"LiveMasterminds, Inc.",1,Professional Training & Coaching,http://www.livemasterminds.com,President & Founder,Professional Training & Coaching - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Helping High-Level Corporate Executives Transition to Purposeful Entrepreneurship Without Sacrificing Income or Security.

I wish I had the benefit of guidance, mentorship, and support before jumping into entrepreneurship 20 years ago at the age of 49. My burning desire to be an entrepreneur was deeply buried. It found satisfaction in gravitating towards jobs that challenged me with NEW projects, ","selfmastery, accelerated transformation, masterminds, capital access ma, leadership coaching for high performers, executive coaching, leadership coaching, personal growth, mindset mastery, entrepreneurship, career transition, coaching retreats, workshops facilitation, bold conscious leadership, fina",Helping Unfulfilled High-achieving Professionals Find Freedom And Purpose Through Entrepreneurship | Author | Strategic Advisor
"Lord Capital, LLC",1,Investment Management,http://www.lordcap.com,Chief Executive Officer,Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},No,high,accounting_service,"Lord Capital was founded based on ESG principles and provides both capital and critical governance to structured trade and portfolio finance for global banks and corporations. Since 2003, Lord Capital has accepted consolidation responsibility for over $86 billion of securitized assets under control party governance.

Our affiliate LordCap Green was formed in 2018 to finance energy efficiency in co","esg, structured finance, balance sheet management, structured investments, green investing, transaction advisory, alternative financing solutions, asset derecognition, spv management, us gaap consolidation, capital markets advisory, financial ratio management, covenant compliance, portfolio advisory",Chief Executive Officer
Marker Management,1,Real Estate,http://www.markermgmt.com,Vice President - Investments,Real estate with investment signals,{'Maybe->No': 1},{'Yes': 1},No,high,wealth_management,"Marker is focused on the investment and management of desirable, safe and affordable off-campus housing serving students attending America's institutions of higher education.","student housing, real estate investment, property management, asset management, investment strategies, market analysis, community development, renovation services, leadership team, fiduciary responsibility, financial reporting, research & acquisition, operational systems, building teams, value creat",Vice President - Investments At Marker Management
McKenna & Associates,2,Investment Management,http://www.mckassoc.com,Chief Executive Officer | Aide To CEO,Investment management - potential investor,{'Maybe->No': 2},{'Yes': 2},No,high,law_service,"McKenna and Associates is a private management consulting and investment firm established in 2004.

The firm's advisory practice focuses on identifying solutions to complicated and sensitive matters by developing unique and innovative strategies to provide clients with a diverse set of solutions.

The firm's capital practice engages in a broad range of investment activities and has the flexibility","strategic advisory, litigation consulting, special situations, financial consulting, client engagement, mergers & acquisitions, regulatory strategy, corporate strategy, risk mitigation, market analysis, executive leadership, investment portfolio, creative problem-solving, actionable recommendations,",Chief Executive Officer
Next Point LLC,4,Management Consulting,http://www.nextpointllc.com,Managing Partner | Partner | Owner,Management consulting with M&A signals,{'Maybe->Yes': 4},{'No': 4},Yes,high,"explicit_target_term,deal_investment_terms","WHO WE ARE:
Next Point LLC, based in Upstate New York, offers comprehensive M&A services nationwide. It operates under two distinct divisions: Privately Held Companies and Dental/Medical Practices. 

With over 20 years of experience, we guide businesses through smooth transitions, maximize enterprise value, and focus on strategies that get results. Our work combines deep industry insights with a s","mergers, acquisitions, divestiture, value enhancement, esop acquisitions, medical practices, dental practices, metal manufacturing, photonics & advanced tech, service businesses, food, beverage, manufacturing, industrial distribution, wholesale, medical device mfg, physical therapy practices, oral s",
OffDeal,1,Information Technology & Services,http://www.offdeal.io,Co-founder & CEO,Information Technology & Services - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","OffDeal is an AI-native investment bank for small businesses. 

We offer small business owners a hassle-free way to sell their company for the highest price to the best possible buyer. We leverage years of Wall Street experience and our custom-built proprietary AI technology to ensure your business attracts the highest number of buyers so that you can realize the full value for your life's work.

","technology, information & internet, m&a advisory, business sale, ai algorithm, buyer matching, deal sourcing, confidentiality, fast closures, strategic buyers, data-driven decisions, market mapping, buy-side origination, opportunity scoring, valuation analysis, seller support, success-based fees, pe",Founder & CEO @ Offdeal | Investment Banking For Small Businesses | We're Hiring!
Outpost Capital Partners,1,Financial Services,http://www.outpostcp.com,Managing Partner,Financial firm with investment signals (financial services),{'Maybe->No': 1},{'Yes': 1},No,high,law_service,"Outpost is a distressed and special situations investment firm focused on non-security debt obligations and a wide range of litigation driven opportunities.  We provide liquidity and risk transfer to holders of esoteric paper assets through our direct monetization of legal claims.

Our investment professionals have traded legal claims with an aggregate notional value in the billions of dollars in ","distressed debt, special situations, litigation finance, insolvency claims, trade claims, distressed investing, global enforcement, asset recovery, frontier, emerging markets, liquidity solutions, risk transfer, litigation claims, creditor claims, bankruptcy proceedings, international judgments, arb",Managing Partner At Outpost Capital Partners
PLG Consulting,1,Logistics & Supply Chain,http://www.plgconsulting.com,CEO,Does not match ICP (logistics & supply chain),{'No->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","PLG Consulting is a veteran logistics and supply chain consulting firm with expertise in the industrial economies, specifically green energy, renewables, chemical, bulk commodities, manufacturing, and mining and minerals sectors. Moreover, our extensive industry experience in specific sectors has made us a premier investment advisor. 

The PLG team has real-world experience, a strategic perspectiv","logistics services, supply chain services, engineering services, investment strategy, freight rail transportation, logistics, chemical logistics, energy logistics, bulk commodities logistics, market analysis, logistics procurement, oil & gas, business strategy, site selection, technology selection, ","Entrepreneur And Executive In Logistics, Supply Chain, And Industrial Services CEO - Plg Consulting "
PPHC,2,Government Relations,http://www.pphcompany.com,Chief Executive Officer | Executive Vice President Human Resources,Does not match ICP (government relations),{'No->Yes': 2},{'No': 2},Yes,high,explicit_target_term,"Public Policy Holding Co. (PPHC) is a group of premier advisory firms specializing in government affairs, public relations, strategic research, grassroots influence and digital campaign solutions. Together, our companies work with over 1,200 corporate clients, institutions and coalitions to define and advance policy goals, manage risk, shape public opinion, and orchestrate issue advocacy campaigns","government relations services, public affairs, strategic communications, issue management, bipartisan advocacy, policy communications, corporate communications, message optimization, research & analytics, lobbying services, media engagement, digital strategies, campaign management, influencer engage",Chief Executive Officer
Paladin,6,Financial Services,http://www.paladinmgmt.com,Managing Partner | Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 6},{'No': 6},No,high,accounting_service,"Paladin is a middle-market advisory firm driving value creation through financial and operational consulting services. Our team of expert consultants, from a range of disciplines, unites with our clients to deliver tailored solutions that yield tangible and lasting results.","restructuring, transaction advisory, performance improvement, strategic communications, portfolio services, financial consulting, operational consulting, middle-market advisory, value creation, crisis management, business transformation, financial restructuring, liquidity management, bankruptcy plan",Partner At Paladin 
Partis,1,Management Consulting,http://www.partissolutions.com,Managing Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","Partis Solutions is a global leader in the provision of corporate services to the Interactive Gaming & Gambling industry. We deliver strategic consulting and brokerage solutions to a diverse portfolio of international clients from across the sector.

As part of the Conexus Group, Partis Solutions is uniquely positioned to leverage over a decade of collective market intelligence and industry unders","management consulting, market entry, mergers & acquisitions, corporate services, business consulting & services, consulting, m&a advisory, gaming market, corporate advisory, igaming, business growth, strategic partnerships, online gaming, regulatory compliance, product development, market analysis, ",Managing Partner At Partis Solutions
Quilty Space,1,Research,http://www.quiltyspace.com,Co-CEO & President,Does not match ICP (research),{'No->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","Quilty Space is a global leader in space sector business intelligence. Catering exclusively to the satellite & space industry, Quilty Space provides the deep research, data, analytical tools, and financial insights needed to help space companies, investment firms, government agencies, and other key stakeholders fuel the burgeoning space economy. 

With decades of experience, in-depth knowledge of ","investment banking, equity research, consulting, valuation, strategy, space, defense, telecommunications, research, spaceeconomy, satellite, research services, business intelligence, satellite sector, m&a advisory, space economy, data analytics, space research, earth observation, national security, ",Leading Wall Street Satellite & Space Analyst
Red Team,3,Management Consulting,http://www.redteamconsulting.com,Executive Chair And Founder | Owner | President,Management consulting with M&A signals,{'Maybe->Yes': 3},{'No': 3},Yes,high,explicit_target_term,"Red Team Consulting, LLC (Red Team) is a strategic growth consultancy that helps companies scale in the government contracting market. Over our 20+ years, we've helped thousands of companies achieve their growth targets with our full lifecycle business development, capture, proposal development, and training services. With our support, our clients continue to beat their largest competitors, divers","proposal management & writing, capture strategy, federal procurement training, growth strategy, gwac & idiq strategy, business consulting & services, government contracting, capture management, proposal development, training services, business development, federal market consulting, inorganic growth",Executive Chair And Founder
Rembert Pendleton Jackson,1,Investment Management,http://www.rpjadvisors.com,CEO,Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},No,high,"law_service,accounting_service,wealth_management","FINANCIAL AND INVESTMENT ADVISORS

Rembert Pendleton Jackson offers a wide range of investment advisory services to individual and institutional investors.  Based in Falls Church, Virginia, the firm has been serving individual clients from around the nation's capital and in over 45 states since 1974 and serving non-profit organizations since 1994.  Collectively, the principals have over 210 years ","comprehensive financial advisory services, investment advisory services, nonprofit investment advisory services, financial planning, fiduciary duty, retirement planning, estate planning, tax planning, risk management, cash flow management, insurance planning, college savings, charitable giving, busi",CEO At Rembert Pendleton Jackson
Ridge Partners llc,1,Information Technology & Services,http://www.ridgellc.com,"Sr. Consultant- Sales, Business And Partner Development",Information Technology & Services - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","Ridge Partners is a team of seasoned executives and experts with broad business, investment, technology and entrepreneurial experience.  Since 2001, Ridge Partners has been helping their clients with technology, management, marketing and engineering challenges.   

For the past 5 years, Ridge Partners has been doing cyber security, forensic, and personal information policy work for international f","cybersecurity, cyberawareness, storage, product management, go to market strategy, kubernetes, m, a, it services & it consulting, business consulting, technology consulting, investment consultancy, cyber security, forensic services, personal information policy, cyber strategies, zero trust architect",Prioritize Your Most Precious Resource- Time
Ridgemar Energy,1,Oil & Energy,http://www.ridgemarenergy.com,CEO,Does not match ICP (oil & energy),{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,,"oil & gas, upstream investment, asset development, operational efficiency, eagle ford, technical evaluations, reservoir engineering, capital raising, m&a advisory, business development, land management, drilling operations, production optimization, technical expertise, geological assessments, invest",CEO At Ridgemar Energy
Rio Grande E&P,1,Oil & Energy,http://www.rgep.com,Chief Operating Officer And Co-founder,Non-standard with investment signals (oil & energy),{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Rio Grande E&P is a privately held company engaged in the acquisition, exploration, and development of natural gas assets in South Texas. Rio Grande E&P I founded in 2017 by Glenn Hart (formerly CEO of Michael Petroleum Corporation and Laredo Energy) and now Rio Grande E&P II is led by Michael Hart.

Having drilled over 500 conventional and unconventional wells in South Texas, Rio Grande E&P is an","natural gas, oil production, hydrocarbon liquids, energy exploration, eagle ford shale, well drilling, reservoir engineering, field development, geology, lease acquisition, resource play, production optimization, data management, geographic information systems, oil & gas assets, financial management",Chief Operating Officer / VP Operations
RiverGlade Capital,7,Financial Services,http://www.riverglade.com,Managing Partner | Operating Partner | Vice President,Private Equity,{'Yes->No': 7},{'Yes': 7},Yes,high,"explicit_target_term,deal_investment_terms","RiverGlade Capital is a private equity firm focused on control buyouts of growth-oriented, lower middle market healthcare companies. Through partnership with founder-owned, high-quality, differentiated businesses, RiverGlade strives to accelerate value, professionalize, and transform organizations into highly attractive strategic assets. Founded in 2017, RiverGlade's Managing Partners have been in","private equity & healthcare, healthcare investment, private equity, lower middle market, value creation, collaborative partnerships, entrepreneurial culture, operational guidance, healthcare management, patient outcomes, succession planning, scalable solutions, technology investment, organic growth,",Managing Partner
"S4 Consultants, Inc",1,Information Technology & Services,http://www.s4consultants.com,CEO,Information Technology & Services - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"S4 Consultants based in Dallas, TX is a rapidly growing software services company with primary focus on Consulting & Professional Services, Systems Integration, Product Support & Maintenance and Staff Augmentation Services.","erp, identity, access management, java, testing, directory services, project management, it services & it consulting, consulting, business strategy, market analysis, financial advisory, risk management, operational efficiency, data analytics, performance optimization, change management, organization",CEO At S4 Consultants Inc
STNL Advisors,1,Real Estate,http://www.stnladvisors.com,Vice President-retail Real Estate,Real estate with investment signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,We are an experienced real estate advisory and management firm focused exclusively on servicing the owners and operators of commercial real estate.,"sale-leaseback, lease restructuring, real estate advisory, tenant representation, portfolio evaluation, due diligence, lease renewals, lease terminations, bankruptcy advisory, m&a advisory, asset disposition, credit underwriting, real estate consulting, negotiation services, cash flow security, leas",
Sandlot Partners,2,Financial Services,http://www.sandlotpartners.com,Partner | Co-founder & Managing Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 2},{'No': 2},Yes,high,deal_investment_terms,"Sandlot provides founders & sponsors with capital, guidance, and partial liquidity to maximize investments in PE, real estate, and oil & gas.","growth capital, strategic guidance, partial liquidity, investments, private equity, real estate, oil & gas, business growth, revenue growth, investment management, portfolio management, deal sourcing, risk-adjusted returns, founder support, equity alignment, downside protection, financing solutions,",Partner I Investor I Father I Husband I D1 Athlete Air Force Academy Basketball I Byu Cheerleader Dad I My Kids Coach
Saratoga Research & Investment Management,1,Investment Management,http://www.saratogarim.com,"Chairman, CEO & Chief Investment Officer",Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},No,high,wealth_management,,"investment advisory, equity portfolios, high net worth management, risk-adjusted returns, asymmetrical exposure, long-term investing, investment philosophy, sustainable competitive advantages, capital allocation, clients' asset management, institutional investors, wealth management, performance metr","Chairman, CEO & Chief Investment Officer, Saratoga Research & Investment Management"
Seabury Aviation Partners,1,Airlines/aviation,http://www.seaburyaviation.com,Managing Director And Partner,Does not match ICP (airlines/aviation),{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Leveraging nearly 30 years of advising on hundreds of major airline and aircraft leasing clients, Seabury Aviation Partners is the industry's leading practice delivering global restructuring and investment banking capabilities to the aviation industry and a comprehensive set of transaction and advisory services to airlines, aviation investors and manufacturers worldwide.","airlines, investment banking, aircraft transactions, aviation finance, aviation advisory, aerospace advisory, aerospace, consulting, airline industry, equity raising, aircraft orders, aviation investments, aircraft leasing, aircraft manufacturers, airline restructuring, airlines & aviation, aviation",Managing Director & Partner At Seabury Aviation Partners
Seaview Investment Managers,2,Investment Management,http://www.seaviewim.com,Founder And Chief Investment Officer | Vice President - Head Of Investor Business,Investment management - institutional allocator,{'Maybe->No': 2},{'Yes': 2},No,high,wealth_management,Seaview Investment Managers is an independent Registered Investment Advisor (RIA) that provides Investment Advisory Services to institutions and their advisors. We optimize the investment management process and create financial value for our clients. We strive to stay ahead of financial industry trends to achieve efficiencies through innovative technologies and service delivery to clients within a,"global investments, advisory & subadvisory services, portfolio management, risk analysis, identifying megatrends, registered investment advisor, financial advisory services, institutional clients, individual clients, asset management, financial education, investment strategies, model portfolios, inv",Founder And Chief Investment Officer At Seaview Investment Managers
Secure Net Lease,3,Real Estate,http://www.securenetlease.com,Managing Partner | Executive Vice President,Real estate with investment signals,{'Maybe->Yes': 3},{'No': 3},Yes,high,explicit_target_term,"Secure Net Lease is a nationally recognized brokerage firm with offices in Dallas, TX and Los Angeles, CA that specializes in the buying and selling of net lease real estate throughout the United States.","net leased investment brokerage, saleleasebacks, retailer services, leasing non-residential real estate, investment sales, net lease properties, single tenant retail, sale-leaseback, tenant services, commercial real estate, 1031 exchange, property acquisitions, capital improvements, lease restructur",Managing Partner
Seven Post Investment Office LP,3,Investment Management,http://www.sevenpost.com,"Cco, General Counsel, Senior Vice President | Vice President",Family Office,{'Yes->No': 3},{'Yes': 3},No,high,"law_service,accounting_service,wealth_management","We provide customized, independent counsel to clients with significant assets. Our singular mission is to preserve and enhance client wealth. We engage in continuous dialogue and education to best understand client objectives and to improve decision-making.
 
Seven Post manages global multi-asset class portfolios for a select number of important relationships with a focus on risk management and lo","investment advisory, fiduciary advisor, private investment office, manager due diligence, client service, public asset classes, private asset classes, alternative asset strategies, global investment strategies, wealth management, risk-adjusted results, investment philosophy, sector expertise, aligne","Cco, General Counsel, Senior Vice President"
Sica Fletcher LLC,1,Insurance,http://www.sicafletcher.com,Managing Partner,Insurance company,{'No->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Sica | Fletcher LLC was founded in 2014 by Michael Fletcher and Al Sica, two of the industry's leading dealmakers who have advised on over $17.5 billion in insurance agency and brokerage transactions since 2014.

According to S&P Global and SNL Financial, Sica | Fletcher ranked as the #1 advisor to the insurance industry in terms of total deals advised on since 2017.","sellside advisory, buyside advisory, strategic advisory, mergers, acquisitions, insurance m&a, advisory firm, insurance agency sales, insurance brokerage, financial advisory, insurance market trends, value maximization, buy-side advisory, sell-side advisory, market research, m&a transactions, client",Managing Partner At Sica | Fletcher
Sterling Advisors,1,Investment Management,http://www.sterlingadvisors.com,President/owner,Investment management - potential investor,{'Maybe->No': 1},{'Yes': 1},No,high,accounting_service,,"business consulting, personal accounting, financial advising, business analysis, accounting services, tax accounting, legal support, tax disputes, zero reporting, financial control, bank guarantees, community feedback, outsourced accounting, business planning, inventory management, sales consulting,",Business Process Improvement Specialist
"Strategic Resources, Inc.",1,Management Consulting,http://www.strategicresourcesinc.com,Founder And Principal,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Are you maximizing the value of your business?  At Strategic Resources, Inc. (SRI), we help leaders of small and middle market companies see and realize the full potential of their business.  

Our REAL PROFIT Strategy delivers a complete (not just functional) view of your business, one that helps you understand the relationships between financial, commercial, and operational decisions and their i","profitable growth strategy, turnaround & restructuring, parttime cfo & sales, marketing services, refinancing & m, a, advanced analytics, strategic planning, leadership development, sales team effectiveness, crisis management, flawless execution, build resiliency, business consulting & services, str","Founder And Principal At Strategic Resources, Inc."
Succession Resource Group,2,Financial Services,http://www.successionresource.com,Executive Vice President | President & CEO,Financial firm with investment signals (financial services),{'Maybe->Yes': 2},{'No': 2},No,high,"accounting_service,wealth_management","Succession Resource Group is a boutique succession planning consulting firm dedicated to helping financial advisors and other small business owners value, grow, protect, and plan for the transition of their business. We provide the most accurate and comprehensive valuation services, turnkey acquisition support, assistance with contingency plans, and personalized succession/exit strategies to clien","succession planning, death, disability, advisor valuation, acquisition support, continuity planning, retained seller search, retained buyer search, advisor workshops, seller side representation, buy side representation, valuation, employment resources, equity sharing, mergers, m&a consulting, valuat",Executive Vice President At Succession Resource Group & Lendingwell
TGN Consulting,1,Management Consulting,http://www.tgn-consulting.com,CEO And Principal,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"We support executives to mobilize their leadership teams in a new direction. With a wide range of expertise and skill stacks across strategy, leadership, culture and structure, we create the conditions for our clients to win (not just play).","post merger & acquision, cultural alignment, strategic alignment, culture of trust, executive coaching, transition coaching, team coaching, executive leadership development, accountability training, online courses, performance leadership development, advanced leader development, sales leadership dev",CEO And Principal
Technology Commercialization Group (TCG),3,Management Consulting,http://www.tcgmedtech.com,Partner,Management consulting with M&A signals,{'Maybe->Yes': 3},{'No': 3},Yes,high,"explicit_target_term,deal_investment_terms","Founded in 1998, TCG serves life science companies, including medical device, diagnostics, pharmaceutical, biotechnology, digital health and health IT companies from its headquarters in Raleigh, North Carolina, and our offices in San Diego, California, USA, and Heidelberg, Germany. TCG assists its clients identify and assess new commercial opportunities and assets, as well as developing and execut","medical devices, biotechnology, diagnostics, europe us business, market opportunity assessments, key opinion leader development, market development, interim management, licensing, partering, m, a advisory services, management advisory, coaching, strategic advisory services, us market entry & growth,",CEO | President | Gm ► Growth Driver ► Change Champion ► Angel Investor
The New Amsterdam Group LLC,1,Financial Services,http://www.thenewamsterdamgroup.us,Managing Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"In the past decade, the principals at The New Amsterdam Group LLC have been actively engaged in fund placement for funds across the alternative assets management spectrum. The New Amsterdam Group LLC provides investment managers and corporates with tailored services, including dedicated involvement from the firm's principals, aimed at devising and executing effective institutional capital raising ","placement agent, private equity, venture capital, institutional investors, capital raising, fund placement, public markets, asset optimization, real assets, capital commitments, investment strategies, senior leadership, corporate advisory, marketing strategies, investment management, financial advis",Managing Partner At The New Amsterdam Group Llc
The New England Consulting Group,1,Management Consulting,http://www.necg.net,Founder & CEO,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","The New England Consulting Group (NECG) is a strategy consulting firm for organizations that are, or wish to be, dedicated to consistent, profitable growth. 

The firm continues to thrive managed by senior executive leaders operating under the ""principal principle"", a philosophy that mandates that the partners, not junior level staff, are the exclusive consultants on all client engagements. 

Each","marketing, strategic planning, positioning, product development, innovation, turnarounds, cpg, health care, food, beverage, restaurant, rx, otc, transformations, marketing excellence, enterprise performance, business consulting & services, strategic consulting, marketing expertise, sales growth, mar",Founder & CEO Of The New England Consulting Group
The Norden Group,2,Investment Management,http://www.thenordengroup.com,Partner,Investment management - HNW/wealth,{'Maybe->No': 2},{'Yes': 2},No,high,"law_service,accounting_service,wealth_management","Welcome to the Norden Group.  We are a team of experienced financial professionals – licensed fiduciaries – with expertise in investment management, tax optimization, estate planning and asset protection.  Our clients include business owners, working professionals, retirees, and corporations.  We assist our clients in the creation, implementation and management of comprehensive, customized, financ","investment advisory, portfolio management, tax optimization, estate planning, asset protection, financial planning, direct indexing, mutual funds, portfolio structure, portfolio audit, independent financial advisor, team collaboration, transparent investing, client loyalty, financial transparency, p",Investment Advisor Rep At The Norden Group
Timucuan Asset Management,1,Investment Management,http://www.timucuan.com,President And Chief Investment Officer,Family Office,{'Yes->No': 1},{'Yes': 1},No,high,wealth_management,"Timucuan Asset Management is a private investment firm headquartered in Jacksonville, Florida.  Established in 1988, the Firm manages capital for high-net-worth individuals, family offices and institutional investors in a concentrated value-oriented style.  Timucuan seeks to preserve and grow capital over time by investing in businesses that are advantaged, well managed and undervalued.","private investment firm, asset management, capital preservation, investment strategy, high net worth individuals, value-oriented investing, research process, concentrated portfolio, long-term investing, capital growth, client relationship, investment philosophy, business evaluation, management teams",President And Chief Investment Officer
Troesser & Co. GmbH,1,Management Consulting,http://www.troesser.com,Associate Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Our experts intervene in some of the most significant moments for companies to make the high-stakes decisions and put companies on a course for the desired change. Troesser & Co. managers also take on temporary management of companies looking for new ways forward. We support in an advisory role, complementing managers or taking on full management functions, depending on the client's needs.

Meanin","corporate finance, corporate real estate management, interim management, real estate, m, a, business consulting & services, business transformation, performance improvement, turnaround services, strategy development, growth consulting, project management, m&a advisory, digital transformation, operat",Associate Partner @ Troesser & Co. | Strategy & Transformation
